Position,value,nucleosome_distance,Centromere_Distance
-1000.0,8.5,60,-1000.0
-999.0,0.0,61,-999.0
-998.0,2.0,62,-998.0
-997.0,1.0,63,-997.0
-996.0,7.5,64,-996.0
-995.0,0.0,65,-995.0
-994.0,13.0,66,-994.0
-993.0,0.0,67,-993.0
-992.0,4.5,68,-992.0
-991.0,0.0,69,-991.0
-990.0,0.0,70,-990.0
-989.0,1.0,71,-989.0
-988.0,0.0,72,-988.0
-987.0,11.0,73,-987.0
-986.0,0.0,74,-986.0
-985.0,4.0,75,-985.0
-984.0,17.5,76,-984.0
-983.0,0.0,77,-983.0
-982.0,0.0,78,-982.0
-981.0,6.0,79,-981.0
-980.0,6.0,80,-980.0
-979.0,2.5,81,-979.0
-978.0,0.0,82,-978.0
-977.0,0.0,83,-977.0
-976.0,6.0,84,-976.0
-975.0,4.0,85,-975.0
-974.0,0.0,86,-974.0
-973.0,11.0,87,-973.0
-972.0,8.5,88,-972.0
-971.0,0.0,89,-971.0
-970.0,0.0,89,-970.0
-969.0,5.0,88,-969.0
-968.0,0.0,87,-968.0
-967.0,4.5,86,-967.0
-966.0,0.0,85,-966.0
-965.0,17.0,84,-965.0
-964.0,21.0,83,-964.0
-963.0,7.666666666666667,82,-963.0
-962.0,1.0,81,-962.0
-961.0,0.0,80,-961.0
-960.0,0.0,79,-960.0
-959.0,0.0,78,-959.0
-958.0,0.0,77,-958.0
-957.0,1.0,76,-957.0
-956.0,12.0,75,-956.0
-955.0,0.0,74,-955.0
-954.0,0.0,73,-954.0
-953.0,0.0,72,-953.0
-952.0,4.0,71,-952.0
-951.0,5.0,70,-951.0
-950.0,0.0,69,-950.0
-949.0,0.0,68,-949.0
-948.0,18.0,67,-948.0
-947.0,0.0,66,-947.0
-946.0,0.0,65,-946.0
-945.0,0.0,64,-945.0
-944.0,0.0,63,-944.0
-943.0,0.0,62,-943.0
-942.0,0.0,61,-942.0
-941.0,0.0,60,-941.0
-940.0,6.0,59,-940.0
-939.0,0.0,58,-939.0
-938.0,0.0,57,-938.0
-937.0,0.0,56,-937.0
-936.0,0.0,55,-936.0
-935.0,0.0,54,-935.0
-934.0,0.0,53,-934.0
-933.0,0.0,52,-933.0
-932.0,0.0,51,-932.0
-931.0,0.0,50,-931.0
-930.0,0.0,49,-930.0
-929.0,0.0,48,-929.0
-928.0,0.0,47,-928.0
-927.0,3.0,46,-927.0
-926.0,0.0,45,-926.0
-925.0,0.0,44,-925.0
-924.0,0.0,43,-924.0
-923.0,0.0,42,-923.0
-922.0,0.0,41,-922.0
-921.0,0.0,40,-921.0
-920.0,0.0,39,-920.0
-919.0,1.0,38,-919.0
-918.0,2.5,37,-918.0
-917.0,0.0,36,-917.0
-916.0,0.0,35,-916.0
-915.0,6.5,34,-915.0
-914.0,0.0,33,-914.0
-913.0,9.0,32,-913.0
-912.0,0.0,31,-912.0
-911.0,4.0,30,-911.0
-910.0,0.0,29,-910.0
-909.0,0.0,28,-909.0
-908.0,0.0,27,-908.0
