Position,value,nucleosome_distance,Centromere_Distance
-1000.0,26.666666666666668,64,-1000.0
-999.0,3.3333333333333335,65,-999.0
-998.0,1.0,66,-998.0
-997.0,0.0,67,-997.0
-996.0,23.5,68,-996.0
-995.0,4.0,69,-995.0
-994.0,1.0,70,-994.0
-993.0,2.3333333333333335,71,-993.0
-992.0,3.5,72,-992.0
-991.0,48.0,73,-991.0
-990.0,6.0,74,-990.0
-989.0,0.0,75,-989.0
-988.0,1.0,76,-988.0
-987.0,2.6,77,-987.0
-986.0,0.0,78,-986.0
-985.0,2.5,79,-985.0
-984.0,0.0,80,-984.0
-983.0,10.0,81,-983.0
-982.0,2.75,82,-982.0
-981.0,124.0,83,-981.0
-980.0,6.0,84,-980.0
-979.0,21.8,85,-979.0
-978.0,18.0,86,-978.0
-977.0,0.0,87,-977.0
-976.0,31.75,88,-976.0
-975.0,26.0,89,-975.0
-974.0,8.5,90,-974.0
-973.0,2.0,91,-973.0
-972.0,64.6,92,-972.0
-971.0,13.0,93,-971.0
-970.0,0.0,94,-970.0
-969.0,0.0,95,-969.0
-968.0,46.5,96,-968.0
-967.0,2.3333333333333335,97,-967.0
-966.0,7.0,98,-966.0
-965.0,7.0,99,-965.0
-964.0,1.5,100,-964.0
-963.0,0.0,101,-963.0
-962.0,1.5,102,-962.0
-961.0,1.0,103,-961.0
-960.0,0.0,104,-960.0
-959.0,13.25,105,-959.0
-958.0,0.0,106,-958.0
-957.0,10.0,107,-957.0
-956.0,47.0,108,-956.0
-955.0,0.0,109,-955.0
-954.0,4.0,110,-954.0
-953.0,2.0,111,-953.0
-952.0,2.5,112,-952.0
-951.0,0.0,113,-951.0
-950.0,0.0,114,-950.0
-949.0,0.0,115,-949.0
-948.0,0.0,116,-948.0
-947.0,0.0,117,-947.0
-946.0,5.0,118,-946.0
-945.0,14.0,119,-945.0
-944.0,0.0,120,-944.0
-943.0,0.0,121,-943.0
-942.0,1.0,122,-942.0
-941.0,46.666666666666664,123,-941.0
-940.0,0.0,124,-940.0
-939.0,0.0,125,-939.0
-938.0,0.0,126,-938.0
-937.0,3.0,127,-937.0
-936.0,0.0,128,-936.0
-935.0,0.0,129,-935.0
-934.0,0.0,130,-934.0
-933.0,0.0,131,-933.0
-932.0,23.0,132,-932.0
-931.0,31.0,133,-931.0
-930.0,17.0,134,-930.0
-929.0,1.0,135,-929.0
-928.0,0.0,136,-928.0
-927.0,19.5,137,-927.0
-926.0,7.0,138,-926.0
-925.0,0.0,139,-925.0
-924.0,4.5,140,-924.0
-923.0,13.0,141,-923.0
-922.0,2.0,142,-922.0
-921.0,0.0,143,-921.0
-920.0,104.0,144,-920.0
-919.0,2.5,145,-919.0
-918.0,6.0,146,-918.0
-917.0,0.0,147,-917.0
-916.0,0.0,148,-916.0
-915.0,1.0,147,-915.0
-914.0,6.0,146,-914.0
-913.0,1.5,145,-913.0
-912.0,3.0,144,-912.0
-911.0,0.0,143,-911.0
-910.0,2.0,142,-910.0
-909.0,2.0,141,-909.0
-908.0,4.0,140,-908.0
-907.0,4.0,139,-907.0
